suite,concept,scale,declarative_score,declarative_pct
pythia,responsive design,1B,0.0,0.0
pythia,responsive design,2.8B,2.0,100.0
pythia,responsive design,6.9B,2.0,100.0
pythia,responsive design,12B,2.0,100.0
pythia,screen reader,160M,1.0,50.0
pythia,screen reader,410M,1.0,50.0
pythia,screen reader,1B,2.0,100.0
pythia,screen reader,2.8B,2.0,100.0
pythia,screen reader,6.9B,2.0,100.0
pythia,screen reader,12B,2.0,100.0
pythia,section heading,160M,2.0,100.0
pythia,section heading,410M,2.0,100.0
pythia,section heading,1B,2.0,100.0
pythia,section heading,2.8B,2.0,100.0
pythia,section heading,6.9B,2.0,100.0
pythia,section heading,12B,2.0,100.0
pythia,semantic HTML,160M,1.0,50.0
pythia,semantic HTML,410M,1.0,50.0
pythia,semantic HTML,1B,0.0,0.0
pythia,semantic HTML,2.8B,1.0,50.0
pythia,semantic HTML,6.9B,1.0,50.0
pythia,semantic HTML,12B,1.0,50.0
pythia,semantic markup,160M,2.0,100.0
pythia,semantic markup,410M,2.0,100.0
pythia,semantic markup,1B,1.0,50.0
pythia,semantic markup,2.8B,2.0,100.0
pythia,semantic markup,6.9B,1.0,50.0
pythia,semantic markup,12B,2.0,100.0
pythia,sensory characteristics,160M,1.0,50.0
pythia,sensory characteristics,410M,1.0,50.0
pythia,sensory characteristics,1B,1.0,50.0
pythia,sensory characteristics,2.8B,0.0,0.0
pythia,sensory characteristics,6.9B,0.0,0.0
pythia,sensory characteristics,12B,1.0,50.0
pythia,sign language,160M,2.0,100.0
pythia,sign language,410M,2.0,100.0
pythia,sign language,1B,2.0,100.0
pythia,sign language,2.8B,2.0,100.0
pythia,sign language,6.9B,2.0,100.0
pythia,sign language,12B,2.0,100.0
pythia,skip link,160M,0.0,0.0
pythia,skip link,410M,1.0,50.0
pythia,skip link,1B,0.0,0.0
pythia,skip link,2.8B,2.0,100.0
pythia,skip link,6.9B,2.0,100.0
pythia,skip link,12B,0.0,0.0
pythia,status message,160M,1.0,50.0
pythia,status message,410M,1.0,50.0
pythia,status message,1B,1.0,50.0
pythia,status message,2.8B,1.0,50.0
pythia,status message,6.9B,2.0,100.0
pythia,status message,12B,1.0,50.0
pythia,tab panel,160M,1.0,50.0
pythia,tab panel,410M,1.0,50.0
pythia,tab panel,1B,1.0,50.0
pythia,tab panel,2.8B,1.0,50.0
pythia,tab panel,6.9B,2.0,100.0
pythia,tab panel,12B,2.0,100.0
pythia,target size,160M,1.0,50.0
pythia,target size,410M,1.0,50.0
pythia,target size,1B,1.0,50.0
pythia,target size,2.8B,1.0,50.0
pythia,target size,6.9B,1.0,50.0
pythia,target size,12B,1.0,50.0
pythia,text alternative,160M,0.0,0.0
pythia,text alternative,410M,1.0,50.0
pythia,text alternative,1B,1.0,50.0
pythia,text alternative,2.8B,0.0,0.0
pythia,text alternative,6.9B,0.0,0.0
pythia,text alternative,12B,1.0,50.0
pythia,text formatting,160M,1.0,50.0
pythia,text formatting,410M,0.0,0.0
pythia,text formatting,1B,0.0,0.0
pythia,text formatting,2.8B,2.0,100.0
