condition,family,model,layer,head,selection_rho,selection_p,n_selection,selection_p_fdr
natural,gpt2,gpt2-large,30,8,-0.13304347826086957,0.5354237325436195,24,0.8237288192978761
natural,gpt2,gpt2-large,35,3,-0.13304347826086957,0.5354237325436195,24,0.8237288192978761
natural,gpt2,gpt2-large,33,17,-0.1243478260869565,0.5626487416883164,24,0.8546563164885818
natural,gpt2,gpt2-large,30,2,-0.1208695652173913,0.5737097351958667,24,0.8611516775853691
natural,gpt2,gpt2-large,32,6,-0.12,0.5764898720889464,24,0.8611516775853691
natural,gpt2,gpt2-large,28,14,-0.11913043478260868,0.579275902008125,24,0.8611516775853691
natural,gpt2,gpt2-large,33,3,-0.11739130434782606,0.5848655143600632,24,0.8611516775853691
natural,gpt2,gpt2-large,27,11,-0.11739130434782606,0.5848655143600632,24,0.8611516775853691
natural,gpt2,gpt2-large,35,14,-0.11391304347826085,0.5961140506694134,24,0.8723620253698732
natural,gpt2,gpt2-large,25,0,-0.11043478260869564,0.6074532587517109,24,0.8734990573296205
natural,gpt2,gpt2-large,32,9,-0.10956521739130433,0.6103019785284629,24,0.8734990573296205
natural,gpt2,gpt2-large,27,19,-0.10956521739130433,0.6103019785284629,24,0.8734990573296205
natural,gpt2,gpt2-large,26,19,-0.10695652173913042,0.6188809974331805,24,0.8734990573296205
natural,gpt2,gpt2-large,27,15,-0.1060869565217391,0.6217515088671185,24,0.8734990573296205
natural,gpt2,gpt2-large,24,3,-0.1034782608695652,0.6303950708493536,24,0.8734990573296205
natural,gpt2,gpt2-large,34,10,-0.1034782608695652,0.6303950708493536,24,0.8734990573296205
natural,gpt2,gpt2-large,25,14,-0.1026086956521739,0.6332868165639749,24,0.8734990573296205
natural,gpt2,gpt2-large,24,7,-0.09999999999999999,0.6419932296067883,24,0.8804478577464525
natural,gpt2,gpt2-large,31,13,-0.09478260869565217,0.659543078769137,24,0.8892644204871967
natural,gpt2,gpt2-large,35,10,-0.09391304347826085,0.6624853858393347,24,0.8892644204871967
natural,gpt2,gpt2-large,33,15,-0.09217391304347824,0.6683845191595212,24,0.8892644204871967
natural,gpt2,gpt2-large,25,6,-0.09217391304347824,0.6683845191595212,24,0.8892644204871967
natural,gpt2,gpt2-large,28,4,-0.08782608695652173,0.6832152692148052,24,0.8892644204871967
natural,gpt2,gpt2-large,34,2,-0.08608695652173912,0.6891799258775774,24,0.8892644204871967
natural,gpt2,gpt2-large,35,11,-0.08608695652173912,0.6891799258775774,24,0.8892644204871967
natural,gpt2,gpt2-large,30,17,-0.08434782608695651,0.6951626031358499,24,0.8921872981422672
natural,gpt2,gpt2-large,29,1,-0.08173913043478259,0.7041697144360882,24,0.8980073021818896
natural,gpt2,gpt2-large,33,4,-0.08086956521739129,0.707180750468238,24,0.8980073021818896
natural,gpt2,gpt2-large,25,7,-0.07652173913043478,0.7222991032128186,24,0.912377814584613
natural,gpt2,gpt2-large,35,17,-0.07391304347826086,0.7314191793924034,24,0.9123946194992886
natural,gpt2,gpt2-large,32,7,-0.07304347826086956,0.7344671341768292,24,0.9123946194992886
natural,gpt2,gpt2-large,35,5,-0.07217391304347825,0.7375189840952583,24,0.9123946194992886
natural,gpt2,gpt2-large,25,11,-0.06956521739130435,0.7466974841785088,24,0.9143234500145007
natural,gpt2,gpt2-large,35,6,-0.06608695652173913,0.7589874525518234,24,0.9190781184459785
natural,gpt2,gpt2-large,30,9,-0.06521739130434781,0.7620689398781239,24,0.9190781184459785
natural,gpt2,gpt2-large,25,10,-0.06,0.7806300955564118,24,0.9320956364852679
natural,gpt2,gpt2-large,31,15,-0.04869565217391304,0.8212344730022532,24,0.9558003752323029
natural,gpt2,gpt2-large,30,18,-0.04869565217391304,0.8212344730022532,24,0.9558003752323029
natural,gpt2,gpt2-large,31,2,-0.047826086956521734,0.8243778236378612,24,0.9558003752323029
natural,gpt2,gpt2-large,34,19,-0.04434782608695652,0.8369769840650598,24,0.9571348908906648
natural,gpt2,gpt2-large,27,4,-0.04434782608695652,0.8369769840650598,24,0.9571348908906648
natural,gpt2,gpt2-large,24,4,-0.041739130434782605,0.8464521133997218,24,0.9571348908906648
natural,gpt2,gpt2-large,29,14,-0.04,0.8527804394339904,24,0.9571348908906648
natural,gpt2,gpt2-large,29,11,-0.03565217391304347,0.8686390462246146,24,0.9571348908906648
natural,gpt2,gpt2-large,26,9,-0.033913043478260865,0.8749966229566861,24,0.9571348908906648
natural,gpt2,gpt2-large,26,18,-0.03304347826086956,0.8781782520387229,24,0.9571348908906648
natural,gpt2,gpt2-large,27,13,-0.03217391304347826,0.8813617120284872,24,0.9571348908906648
natural,gpt2,gpt2-large,34,5,-0.023478260869565212,0.9132865779270147,24,0.965507549129855
natural,gpt2,gpt2-large,35,8,-0.020869565217391303,0.9228917031216202,24,0.965507549129855
natural,gpt2,gpt2-large,35,18,-0.0017391304347826085,0.9935650421080594,24,0.9967824967252693
natural,gpt2,gpt2-large,29,8,0.0008695652173913043,0.9967824967252694,24,0.9967824967252693
natural,gpt2,gpt2-large,33,7,0.0008695652173913043,0.9967824967252694,24,0.9967824967252693
natural,gpt2,gpt2-large,33,12,0.0017391304347826085,0.9935650421080594,24,0.9967824967252693
natural,gpt2,gpt2-large,31,18,0.003478260869565217,0.9871304734643621,24,0.9967824967252693
natural,gpt2,gpt2-large,29,19,0.005217391304347826,0.9806966832535792,24,0.9967824967252693
natural,gpt2,gpt2-large,33,13,0.009565217391304347,0.9646181660759277,24,0.9893519652060796
natural,gpt2,gpt2-large,24,18,0.014782608695652172,0.9453421257736343,24,0.973742962170267
natural,gpt2,gpt2-large,24,0,0.01652173913043478,0.9389228669455103,24,0.9712995175298382
natural,gpt2,gpt2-large,31,0,0.019130434782608695,0.9293010160374854,24,0.965507549129855
