family,model,compound,max_attention,max_weighted,max_relative,p95_relative,mean_top5_relative,bigram_count,log_frequency
gpt2,gpt2,skip_link,0.538203239440918,115.98707580566406,0.5030571818351746,0.031990955956280175,0.13116880655288693,662,6.4967749901858625
gpt2,gpt2,status_message,0.4908522367477417,116.66835021972656,0.4863081872463226,0.0187464241869747,0.14195548016577955,20367,9.921720320797188
gpt2,gpt2,tab_panel,0.4605269432067871,107.34442901611328,0.4414863586425781,0.025197032280266266,0.11633357703685761,3519,8.166216268592143
gpt2,gpt2,target_size,0.5820533633232117,147.92138671875,0.6050374507904053,0.03273156676441421,0.172589749097824,21981,9.997979215628845
gpt2,gpt2,text_alternative,0.3826448619365692,89.05432891845703,0.3450416624546051,0.048918669484555664,0.1272593855857849,1852,7.52456122628536
gpt2,gpt2,text_formatting,0.5255544781684875,120.9380340576172,0.4702397882938385,0.039508013240992935,0.18473775796592232,28514,10.258185543590638
gpt2,gpt2,text_spacing,0.5468171238899231,148.6088409423828,0.5799320340156555,0.03449797648936505,0.20072322450578212,615,6.423246963533519
gpt2,gpt2,tool_tip,0.3927507698535919,99.8970718383789,0.4292439222335815,0.027521035540848875,0.13893625326454634,17356,9.761751162220882
gpt2,gpt2,touch_target,0.4727510511875152,109.98299407958984,0.4438918530941009,0.03794993218034499,0.127958321198821,1114,7.016609683894219
gpt2,gpt2,tree_grid,0.3874180018901825,83.03675079345703,0.3424823582172394,0.041123762354254675,0.11509600766003128,865,6.763884908562435
gpt2,gpt2,universal_design,0.535530686378479,122.45469665527344,0.4952720701694488,0.0344967603683471,0.1537575844675302,9030,9.108418382250798
