condition,family,model,measure,n_compounds,rho,p_value,ci_low,ci_high
uniform,pythia,pythia-2.8b,mean_top5_relative,49,-0.46346938775510205,0.0007971764318976443,-0.6909104069113902,-0.19024047161699356
uniform,pythia,pythia-410m,max_attention,49,-0.4145029103127058,0.003065655311815205,-0.6390008594235359,-0.13622089724757094
uniform,pythia,pythia-410m,max_weighted,49,-0.4570408163265306,0.000962423173025124,-0.6458493642609585,-0.21426991361880585
uniform,pythia,pythia-410m,max_relative,49,-0.4545918367346939,0.0010330386194010923,-0.6349901987499132,-0.21879743633545296
uniform,pythia,pythia-410m,p95_relative,49,-0.4130612244897959,0.003180338854137845,-0.6254756941870679,-0.13283627432279052
uniform,pythia,pythia-410m,mean_top5_relative,49,-0.5278571428571428,9.708498469859718e-05,-0.6828481440628097,-0.3007829097260275
uniform,pythia,pythia-6.9b,max_attention,49,-0.3361224489795918,0.018212298905582527,-0.5773576446367942,-0.08400034696769994
uniform,pythia,pythia-6.9b,max_weighted,49,-0.10265306122448979,0.4827547174141625,-0.4033752645054884,0.19544438764032995
uniform,pythia,pythia-6.9b,max_relative,49,-0.053367346938775505,0.7157181558876003,-0.354864930278831,0.2385943432641133
uniform,pythia,pythia-6.9b,p95_relative,49,-0.3524489795918367,0.013001682281034072,-0.5768566742741938,-0.08695229698192468
uniform,pythia,pythia-6.9b,mean_top5_relative,49,-0.31938775510204076,0.02528989415485338,-0.5380165938880327,-0.06676031376630044
