condition,family,model,measure,n_compounds,rho,p_value,ci_low,ci_high
natural,gpt2,gpt2-xl,p95_relative,49,-0.15244897959183673,0.2956894197469137,-0.4200068137404834,0.14800341001458156
natural,gpt2,gpt2-xl,mean_top5_relative,49,0.050408163265306116,0.7308712276465115,-0.23659158756716156,0.31357171973870634
natural,olmo,OLMo-2-0425-1B,max_attention,49,-0.325204081632653,0.02260611114150171,-0.56483985292233,-0.039784064486971686
natural,olmo,OLMo-2-0425-1B,max_weighted,49,0.026122448979591834,0.8585918603519269,-0.2542873563644875,0.31195190970277636
natural,olmo,OLMo-2-0425-1B,max_relative,49,-0.0680612244897959,0.6421685803669203,-0.35547814467503347,0.22528098023152482
natural,olmo,OLMo-2-0425-1B,p95_relative,49,-0.165,0.25722692248440976,-0.42464875747430325,0.1317691609081779
natural,olmo,OLMo-2-0425-1B,mean_top5_relative,49,-0.10969387755102039,0.4530721080659482,-0.3874610464651341,0.18120412168410135
natural,olmo,OLMo-2-1124-13B,max_attention,49,-0.15081632653061225,0.3009529376236965,-0.4073312141563153,0.13806896462659202
natural,olmo,OLMo-2-1124-13B,max_weighted,49,-0.11520408163265305,0.4305562922511856,-0.39992821364872183,0.17852471587536559
natural,olmo,OLMo-2-1124-13B,max_relative,49,0.1692857142857143,0.24490061822698944,-0.1034213929881925,0.426243211857469
natural,olmo,OLMo-2-1124-13B,p95_relative,49,-0.25448979591836735,0.07762732282121558,-0.517605419925351,0.04027937493600075
natural,olmo,OLMo-2-1124-13B,mean_top5_relative,49,-0.023979591836734693,0.8700875365406152,-0.2676476079143915,0.24450270505313
natural,olmo,OLMo-2-1124-7B,max_attention,49,-0.49071428571428566,0.0003439954031030621,-0.6928041641630212,-0.2101775112667034
natural,olmo,OLMo-2-1124-7B,max_weighted,49,0.046836734693877544,0.7492951815760343,-0.22798664466100133,0.3271183819261531
natural,olmo,OLMo-2-1124-7B,max_relative,49,-0.04234693877551019,0.7726534741586216,-0.3401465035152759,0.27349912220867323
natural,olmo,OLMo-2-1124-7B,p95_relative,49,-0.2757142857142857,0.05517112902453135,-0.5284752555242921,0.02680849541486988
natural,olmo,OLMo-2-1124-7B,mean_top5_relative,49,-0.16938775510204077,0.24461211114809042,-0.4324868304819947,0.12136224160484087
natural,pythia,pythia-12b,max_attention,49,-0.519795918367347,0.00012936683371404624,-0.7065310615596673,-0.2675094301645574
natural,pythia,pythia-12b,max_weighted,49,-0.1614285714285714,0.267811842817025,-0.43361002917915475,0.15301185173218107
natural,pythia,pythia-12b,max_relative,49,-0.1090816326530612,0.4556129332620465,-0.3942279248015404,0.19375827085013297
natural,pythia,pythia-12b,p95_relative,49,-0.3689795918367346,0.009082015999949653,-0.6063891476363097,-0.10433461675457387
natural,pythia,pythia-12b,mean_top5_relative,49,-0.34530612244897957,0.015098581106841496,-0.5848595285540196,-0.05249201510639714
natural,pythia,pythia-160m,max_attention,49,-0.1728060891942449,0.23508042314034314,-0.43033764002444186,0.10568995289037834
natural,pythia,pythia-160m,max_weighted,49,-0.0783673469387755,0.5924878995477658,-0.3855365555212061,0.2165199001141835
natural,pythia,pythia-160m,max_relative,49,-0.13499999999999998,0.35504502554498585,-0.44132535031746284,0.16899491872635178
natural,pythia,pythia-160m,p95_relative,49,-0.31755102040816324,0.026190913706747424,-0.5369686118784397,-0.038522478290311905
natural,pythia,pythia-160m,mean_top5_relative,49,-0.23928571428571424,0.09773940618491689,-0.4998607614843888,0.0636378294433944
natural,pythia,pythia-1b,max_attention,49,-0.4631632653061224,0.0008044266129862592,-0.6412608361289843,-0.19909494663050545
natural,pythia,pythia-1b,max_weighted,49,-0.4280612244897959,0.002153220922528168,-0.6149317730725877,-0.1608449806591095
