condition,family,model,layer,head,selection_rho,selection_p,n_selection,selection_p_fdr
uniform,gpt2,gpt2-large,25,3,-0.2695652173913043,0.20272227336292598,24,0.9009878816130042
uniform,gpt2,gpt2-large,26,14,-0.2643478260869565,0.2119392787870507,24,0.9128690842800296
uniform,gpt2,gpt2-large,30,14,-0.2582608695652174,0.2230432181317936,24,0.9128690842800296
uniform,gpt2,gpt2-large,35,9,-0.25478260869565217,0.2295589641942164,24,0.9128690842800296
uniform,gpt2,gpt2-large,28,10,-0.2539130434782608,0.23120736516745433,24,0.9128690842800296
uniform,gpt2,gpt2-large,27,9,-0.248695652173913,0.24126176688795445,24,0.9128690842800296
uniform,gpt2,gpt2-large,35,0,-0.24434782608695652,0.24985580217173994,24,0.9128690842800296
uniform,gpt2,gpt2-large,32,3,-0.24434782608695652,0.24985580217173994,24,0.9128690842800296
uniform,gpt2,gpt2-large,29,18,-0.24086956521739128,0.25687241800841343,24,0.9128690842800296
uniform,gpt2,gpt2-large,32,2,-0.24086956521739128,0.25687241800841343,24,0.9128690842800296
uniform,gpt2,gpt2-large,33,8,-0.24086956521739128,0.25687241800841343,24,0.9128690842800296
uniform,gpt2,gpt2-large,32,9,-0.24,0.2586462405460084,24,0.9128690842800296
uniform,gpt2,gpt2-large,34,17,-0.24,0.2586462405460084,24,0.9128690842800296
uniform,gpt2,gpt2-large,28,11,-0.23652173913043475,0.265820294159618,24,0.917014985336391
uniform,gpt2,gpt2-large,27,3,-0.23391304347826083,0.27128359982868233,24,0.917014985336391
uniform,gpt2,gpt2-large,31,10,-0.23130434782608694,0.27681789646261495,24,0.9223459049075111
uniform,gpt2,gpt2-large,25,9,-0.2295652173913043,0.28054687940936796,24,0.9223459049075111
uniform,gpt2,gpt2-large,30,11,-0.2252173913043478,0.2900074275938714,24,0.93403958759357
uniform,gpt2,gpt2-large,25,17,-0.2217391304347826,0.2977178574717595,24,0.93403958759357
uniform,gpt2,gpt2-large,31,11,-0.2217391304347826,0.2977178574717595,24,0.93403958759357
uniform,gpt2,gpt2-large,25,5,-0.21391304347826084,0.3155271306915456,24,0.93403958759357
uniform,gpt2,gpt2-large,33,16,-0.20956521739130432,0.32569617157142167,24,0.93403958759357
uniform,gpt2,gpt2-large,27,11,-0.20956521739130432,0.32569617157142167,24,0.93403958759357
uniform,gpt2,gpt2-large,24,2,-0.20608695652173914,0.3339723271430128,24,0.93403958759357
uniform,gpt2,gpt2-large,31,8,-0.2026086956521739,0.34237332678092103,24,0.93403958759357
uniform,gpt2,gpt2-large,28,8,-0.2026086956521739,0.34237332678092103,24,0.93403958759357
uniform,gpt2,gpt2-large,32,16,-0.19826086956521738,0.353049435242404,24,0.93403958759357
uniform,gpt2,gpt2-large,34,11,-0.19565217391304346,0.35954796323422916,24,0.93403958759357
uniform,gpt2,gpt2-large,31,18,-0.19565217391304346,0.35954796323422916,24,0.93403958759357
