condition,family,model,layer,head,selection_rho,selection_p,n_selection,selection_p_fdr,candidate_rank
uniform,olmo,OLMo-2-0425-1B,13,12,-0.5353846153846153,0.005816423139382553,25,0.19978679154773593,2
uniform,olmo,OLMo-2-0425-1B,11,1,-0.5061538461538462,0.009834380333702134,25,0.19978679154773593,3
uniform,olmo,OLMo-2-0425-1B,13,5,-0.4915384615384616,0.012579821788806896,25,0.19978679154773593,4
uniform,olmo,OLMo-2-0425-1B,14,7,-0.48538461538461536,0.013911171596886915,25,0.19978679154773593,5
uniform,olmo,OLMo-2-1124-13B,32,10,-0.6130769230769231,0.0011199085616730602,25,0.2383186892814028,1
uniform,olmo,OLMo-2-1124-13B,34,26,-0.5984615384615385,0.0015761879756822136,25,0.2383186892814028,2
uniform,olmo,OLMo-2-1124-13B,29,26,-0.573076923076923,0.002749831030170032,25,0.2383186892814028,3
uniform,olmo,OLMo-2-1124-13B,28,23,-0.5546153846153846,0.004011938702420246,25,0.2980297321797897,4
uniform,olmo,OLMo-2-1124-13B,36,23,-0.5438461538461539,0.004952664674829258,25,0.3219232038639018,5
uniform,olmo,OLMo-2-1124-7B,30,6,-0.6053846153846154,0.0013433495567764595,25,0.42987185816846707,1
uniform,olmo,OLMo-2-1124-7B,23,11,-0.5476923076923077,0.004597368339378727,25,0.49038595620039754,2
uniform,olmo,OLMo-2-1124-7B,27,5,-0.5292307692307692,0.006521241891785315,25,0.5214032168923864,3
uniform,olmo,OLMo-2-1124-7B,29,16,-0.5169230769230769,0.008146925263943538,25,0.5214032168923864,4
uniform,olmo,OLMo-2-1124-7B,29,15,-0.48692307692307696,0.01356793427717865,25,0.6371645139633557,5
uniform,pythia,pythia-12b,30,29,-0.7207692307692307,4.820158860995339e-05,25,0.022510141880848232,1
uniform,pythia,pythia-12b,24,3,-0.6423076923076922,0.0005365252209934898,25,0.12527863910197987,2
uniform,pythia,pythia-12b,32,7,-0.6000000000000001,0.001521657048326971,25,0.2368712805228985,3
uniform,pythia,pythia-12b,33,19,-0.5861538461538462,0.0020760584806934043,25,0.24237982762095495,4
uniform,pythia,pythia-12b,28,23,-0.5584615384615385,0.003714882330530534,25,0.27608885296375546,5
uniform,pythia,pythia-160m,8,4,-0.37,0.06868060622866679,25,0.9130996452924502,1
uniform,pythia,pythia-160m,8,3,-0.3153846153846154,0.12461471985396835,25,0.9130996452924502,2
uniform,pythia,pythia-160m,9,7,-0.23846153846153845,0.2510011134189243,25,0.9130996452924502,3
uniform,pythia,pythia-160m,11,11,-0.2076923076923077,0.3191460056023234,25,0.9130996452924502,4
uniform,pythia,pythia-160m,9,1,-0.20615384615384616,0.3228240576300501,25,0.9130996452924502,5
uniform,pythia,pythia-1b,15,1,-0.47846153846153844,0.015545373390900934,25,0.5644936229323005,1
uniform,pythia,pythia-1b,15,0,-0.3861538461538461,0.05656854635871757,25,0.5644936229323005,2
uniform,pythia,pythia-1b,12,2,-0.3815384615384615,0.059845517971554255,25,0.5644936229323005,3
uniform,pythia,pythia-1b,14,4,-0.3715384615384616,0.06744805844100726,25,0.5644936229323005,4
uniform,pythia,pythia-1b,15,2,-0.3676923076923077,0.07056170286653757,25,0.5644936229323005,5
uniform,pythia,pythia-2.8b,23,7,-0.5676923076923077,0.0030770016819943857,25,0.44341713553931045,1
uniform,pythia,pythia-2.8b,31,5,-0.5538461538461539,0.004073699461933928,25,0.44341713553931045,2
uniform,pythia,pythia-2.8b,24,17,-0.5361538461538461,0.005733002713664561,25,0.44341713553931045,3
uniform,pythia,pythia-2.8b,22,11,-0.5330769230769231,0.006072828445393014,25,0.44341713553931045,4
uniform,pythia,pythia-2.8b,25,3,-0.5115384615384615,0.008957622350113654,25,0.44341713553931045,5
uniform,pythia,pythia-410m,18,10,-0.5953846153846154,0.0016902943707928194,25,0.21635767946148088,1
uniform,pythia,pythia-410m,19,14,-0.5376923076923077,0.0055691757744758845,25,0.3361064004133627,2
uniform,pythia,pythia-410m,22,8,-0.5053846153846154,0.009965259123424915,25,0.3361064004133627,3
uniform,pythia,pythia-410m,16,0,-0.5023076923076923,0.010503325012917585,25,0.3361064004133627,4
uniform,pythia,pythia-410m,18,2,-0.4623076923076923,0.019976678712349087,25,0.4516369246968668,5
uniform,pythia,pythia-6.9b,22,13,-0.7392307692307692,2.4276012747265506e-05,25,0.007719772053630431,1
uniform,pythia,pythia-6.9b,23,30,-0.6869230769230769,0.00014902961922059538,25,0.023695709456074666,2
uniform,pythia,pythia-6.9b,28,11,-0.5800000000000001,0.0023730756505841197,25,0.2515460189619167,3
uniform,pythia,pythia-6.9b,27,18,-0.5407692307692307,0.00525331069295947,25,0.41763820009027786,4
