set_id,heads,rho_frequency_kl,mean_kl,median_kl,top_changes
random_080,"[[24, 1], [28, 22], [30, 22], [31, 4], [31, 7]]",0.40086956521739125,6.781151114410022e-06,5.58915053261444e-06,0
random_081,"[[22, 19], [25, 25], [26, 19], [27, 6], [31, 29]]",-0.13739130434782607,1.7794402689711813e-05,1.3671189663000405e-05,0
random_082,"[[24, 1], [24, 11], [25, 22], [25, 28], [27, 15]]",0.21478260869565213,5.0308202465506234e-05,1.2966325812158175e-05,0
random_083,"[[22, 10], [24, 12], [25, 5], [27, 4], [27, 12]]",0.3043478260869565,2.2539402531644253e-05,8.614699254394509e-06,0
random_084,"[[23, 14], [25, 16], [25, 19], [28, 26], [31, 23]]",0.16260869565217392,1.2140769589071473e-05,3.575667506083846e-06,0
random_085,"[[23, 30], [24, 6], [25, 6], [25, 28], [31, 20]]",0.2417391304347826,1.3718744980906195e-05,3.0487863114103675e-06,0
random_086,"[[22, 14], [24, 20], [24, 30], [27, 18], [30, 5]]",0.05565217391304347,1.8360313940017175e-05,1.0233110515400767e-05,0
random_087,"[[22, 31], [23, 17], [25, 8], [29, 19], [31, 11]]",0.17391304347826084,2.8956942514923867e-06,1.7855418263934553e-06,0
random_088,"[[22, 3], [22, 19], [23, 10], [27, 1], [31, 12]]",0.17739130434782607,2.9024282866885187e-05,1.899984636111185e-05,0
random_089,"[[22, 17], [26, 17], [27, 18], [30, 30], [31, 31]]",-0.13217391304347825,3.870082044462227e-06,2.239661625935696e-06,0
random_090,"[[24, 19], [27, 8], [29, 9], [30, 2], [30, 17]]",-0.04521739130434782,7.383104578669493e-06,3.6883866414427757e-06,0
random_091,"[[24, 19], [25, 4], [29, 3], [29, 23], [31, 7]]",0.13565217391304346,1.3321088090378908e-06,7.362068572547287e-07,0
random_092,"[[24, 14], [26, 18], [28, 20], [29, 14], [29, 19]]",0.23304347826086955,2.5780676272309697e-06,1.4696452126372606e-06,0
random_093,"[[24, 6], [27, 20], [28, 16], [30, 0], [30, 13]]",-0.15565217391304348,1.2789050288120052e-05,9.752693586051464e-06,0
random_094,"[[23, 4], [23, 7], [25, 31], [26, 21], [29, 26]]",0.29565217391304344,4.517409820437024e-06,2.5029421522049233e-06,0
random_095,"[[22, 4], [25, 4], [25, 7], [27, 27], [28, 6]]",0.07304347826086956,2.3215293898222928e-05,8.812028681859374e-06,0
random_096,"[[22, 3], [26, 2], [28, 17], [29, 14], [31, 22]]",0.328695652173913,6.195023752297857e-05,2.9119939426891506e-05,0
random_097,"[[23, 19], [23, 25], [26, 5], [29, 31], [31, 5]]",0.4539130434782608,1.550546630824101e-05,6.9331799750216305e-06,0
random_098,"[[24, 7], [25, 4], [27, 24], [28, 19], [29, 25]]",-0.11565217391304347,6.652015554209356e-05,1.0447089152876288e-05,0
random_099,"[[24, 28], [27, 6], [28, 12], [30, 26], [31, 8]]",0.25913043478260867,2.0806054408240016e-06,6.654227036051452e-07,0
random_100,"[[24, 26], [25, 6], [25, 26], [30, 18], [31, 26]]",0.2643478260869565,9.624091338385673e-06,2.255830622743815e-06,0
