family,model,layer,head,n_compounds,relative_layer_depth,rho,p_two_sided,q_bh_within_model,bootstrap_ci_low,bootstrap_ci_high,bootstrap_negative_fraction,bootstrap_valid_resamples,upper_tail_compound_count
olmo,OLMo-2-1124-13B,37,30,49,0.95,0.2139795918367347,0.139849965142563,0.4816025289677666,-0.08095168462655875,0.4639088807227329,0.072,2000,0
olmo,OLMo-2-1124-13B,37,31,49,0.95,-0.03397959183673469,0.8167060434618673,0.9365487156526568,-0.3461828945596083,0.28444669533667605,0.5625,2000,0
olmo,OLMo-2-1124-13B,37,32,49,0.95,0.11959183673469388,0.41308588015401737,0.7395960576006455,-0.15154121944065307,0.39092466129378833,0.2245,2000,0
olmo,OLMo-2-1124-13B,37,33,49,0.95,-0.0070408163265306125,0.9617051251672682,0.9784216015175777,-0.2837690069325145,0.25731917085378236,0.5145,2000,0
olmo,OLMo-2-1124-13B,37,34,49,0.95,0.008979591836734694,0.9511715315416819,0.9774885304380921,-0.2877527819470098,0.3052111573612218,0.479,2000,0
olmo,OLMo-2-1124-13B,37,35,49,0.95,0.12071428571428572,0.4086829022702871,0.7353463985486135,-0.1610997346191834,0.39183588644513895,0.198,2000,0
olmo,OLMo-2-1124-13B,37,36,49,0.95,0.06642857142857143,0.6501906227566491,0.8834631049354066,-0.220192039772867,0.33691004772584465,0.332,2000,10
olmo,OLMo-2-1124-13B,37,37,49,0.95,-0.14642857142857144,0.31539601156596825,0.6581532624550693,-0.4179322486286343,0.13773210355633658,0.837,2000,0
olmo,OLMo-2-1124-13B,37,38,49,0.95,0.01846938775510204,0.8997645102954362,0.9686905700903247,-0.2585451688623504,0.3050222456105504,0.421,2000,13
olmo,OLMo-2-1124-13B,37,39,49,0.95,-0.3388775510204082,0.017225699142477423,0.2508846190451523,-0.5941224078645574,-0.054678382379456617,0.9875,2000,0
olmo,OLMo-2-1124-13B,38,0,49,0.975,0.18377551020408164,0.2062239166454558,0.5388765661087288,-0.10127200378997317,0.46649950857166417,0.108,2000,0
olmo,OLMo-2-1124-13B,38,1,49,0.975,-0.34714285714285714,0.014533606779515892,0.22901440985903831,-0.5956559481857437,-0.06016615340276489,0.991,2000,49
olmo,OLMo-2-1124-13B,38,2,49,0.975,-0.011224489795918367,0.9389851618399635,0.974595377558445,-0.33337931687163275,0.27968066329529984,0.5185,2000,0
olmo,OLMo-2-1124-13B,38,3,49,0.975,0.06816326530612245,0.6416685294430258,0.8834631049354066,-0.2353205565517744,0.36923714396147916,0.318,2000,0
olmo,OLMo-2-1124-13B,38,4,49,0.975,-0.24520408163265306,0.08947914138452034,0.4515377185216691,-0.5045514661554507,0.062228144788965635,0.9465,2000,3
olmo,OLMo-2-1124-13B,38,5,49,0.975,-0.4273469387755102,0.0021944667057929436,0.12679140966803673,-0.6369689186289613,-0.16807732734412173,0.9995,2000,49
olmo,OLMo-2-1124-13B,38,6,49,0.975,0.21948979591836734,0.12969371460562795,0.4683384138536565,-0.05697420839535075,0.45727141925491155,0.06,2000,3
olmo,OLMo-2-1124-13B,38,7,49,0.975,-0.29775510204081634,0.03772150586986765,0.3502711259344854,-0.4976819919661179,-0.05968408948210812,0.995,2000,0
olmo,OLMo-2-1124-13B,38,8,49,0.975,0.1339795918367347,0.3587270827147101,0.6934501227198857,-0.17879982873380734,0.4256702145286858,0.195,2000,0
olmo,OLMo-2-1124-13B,38,9,49,0.975,0.011428571428571429,0.9378779536523169,0.974595377558445,-0.27339568422082156,0.28586591335870853,0.4835,2000,36
olmo,OLMo-2-1124-13B,38,10,49,0.975,-0.025714285714285714,0.8607793522894795,0.9481157259660086,-0.3021843840114832,0.26543562973501417,0.555,2000,0
olmo,OLMo-2-1124-13B,38,11,49,0.975,0.075,0.6085325213738254,0.8717270278633312,-0.22735173216627444,0.36213982562961816,0.325,2000,8
olmo,OLMo-2-1124-13B,38,12,49,0.975,-0.0067346938775510205,0.9633689614942303,0.9784216015175777,-0.3074132953039647,0.3063881104206507,0.525,2000,0
olmo,OLMo-2-1124-13B,38,13,49,0.975,-0.032857142857142856,0.8226616471992378,0.9365487156526568,-0.32231323131361544,0.28468735361015,0.568,2000,0
olmo,OLMo-2-1124-13B,38,14,49,0.975,0.05704081632653061,0.6970577307773338,0.8903804384574607,-0.23394821429130475,0.33463906095443335,0.358,2000,0
olmo,OLMo-2-1124-13B,38,15,49,0.975,0.06153061224489796,0.6744901012679931,0.8834631049354066,-0.23931701469277117,0.3566131840174596,0.3425,2000,0
olmo,OLMo-2-1124-13B,38,16,49,0.975,0.28285714285714286,0.04891781550052438,0.40376609619480447,0.0003647286975775421,0.5180438792694704,0.025,2000,0
olmo,OLMo-2-1124-13B,38,17,49,0.975,-0.27918367346938777,0.0520577553855853,0.4101520121288539,-0.5237922708756186,-0.0005099165984406837,0.9765,2000,0
olmo,OLMo-2-1124-13B,38,18,49,0.975,0.125,0.39212211572351996,0.7266589091829532,-0.15271469573436752,0.3815478392224656,0.177,2000,0
olmo,OLMo-2-1124-13B,38,19,49,0.975,0.07081632653061225,0.6287229357703876,0.8834631049354066,-0.22404464294390755,0.3760917094349124,0.327,2000,0
olmo,OLMo-2-1124-13B,38,20,49,0.975,-0.18683673469387754,0.198635686350078,0.5324255510414462,-0.4582557196724728,0.11759126355403222,0.8935,2000,3
olmo,OLMo-2-1124-13B,38,21,49,0.975,0.20683673469387756,0.15388198751831608,0.49091186202162185,-0.06435364144201702,0.4475939043815968,0.061,2000,0
olmo,OLMo-2-1124-13B,38,22,49,0.975,0.1773469387755102,0.22281681510596207,0.5564394795401221,-0.1069542057052816,0.4374308843219019,0.1145,2000,2
olmo,OLMo-2-1124-13B,38,23,49,0.975,-0.11642857142857142,0.42563956845032347,0.743439602636306,-0.426939887714634,0.19626344231645293,0.773,2000,0
olmo,OLMo-2-1124-13B,38,24,49,0.975,-0.06377551020408163,0.6633101685654419,0.8834631049354066,-0.3270749254624525,0.23878657351905347,0.642,2000,0
olmo,OLMo-2-1124-13B,38,25,49,0.975,0.5519387755102041,3.938360106060084e-05,0.010239736275756217,0.30556485175164955,0.7382667248474691,0.0,2000,3
olmo,OLMo-2-1124-13B,38,26,49,0.975,-0.11693877551020408,0.42360033252212864,0.743439602636306,-0.405995928135923,0.18060830660008412,0.778,2000,31
olmo,OLMo-2-1124-13B,38,27,49,0.975,-0.2179591836734694,0.13245757407224198,0.4719510087185335,-0.5047373721651855,0.10431535323890334,0.925,2000,2
olmo,OLMo-2-1124-13B,38,28,49,0.975,0.15683673469387754,0.28184100462837086,0.6210056034184442,-0.13998126489157306,0.425302185097572,0.1505,2000,1
olmo,OLMo-2-1124-13B,38,29,49,0.975,0.12193877551020409,0.4039106316017066,0.7332611688129052,-0.18729141341623684,0.4251856327111448,0.223,2000,0
olmo,OLMo-2-1124-13B,38,30,49,0.975,0.31510204081632653,0.027433890180382087,0.30484439824402315,0.02337036962402952,0.5640732464909348,0.0185,2000,0
olmo,OLMo-2-1124-13B,38,31,49,0.975,0.013979591836734693,0.9240483239644027,0.974595377558445,-0.26216746562862553,0.29293626222137653,0.453,2000,0
olmo,OLMo-2-1124-13B,38,32,49,0.975,0.23316326530612244,0.10689261133844363,0.465655992142592,-0.03129851775608338,0.4702891799061867,0.04,2000,0
olmo,OLMo-2-1124-13B,38,33,49,0.975,-0.15897959183673468,0.27523516414987936,0.611633698110843,-0.41047932212306265,0.11863605278299247,0.8785,2000,0
olmo,OLMo-2-1124-13B,38,34,49,0.975,0.2280612244897959,0.11501064783158943,0.465655992142592,-0.06320234728003477,0.5098699639153245,0.0565,2000,0
olmo,OLMo-2-1124-13B,38,35,49,0.975,-0.22989795918367348,0.11203578619127669,0.465655992142592,-0.5061902688231683,0.07086171861616039,0.9315,2000,0
olmo,OLMo-2-1124-13B,38,36,49,0.975,-0.17438775510204083,0.2307573804506247,0.5597384326637149,-0.4291734144460049,0.11378876420707178,0.8805,2000,0
olmo,OLMo-2-1124-13B,38,37,49,0.975,0.1923469387755102,0.1854788236229162,0.5268715205766513,-0.07769864308695745,0.4371584804980699,0.083,2000,0
olmo,OLMo-2-1124-13B,38,38,49,0.975,0.2583673469387755,0.07306039276048505,0.4450591797488488,-0.029372365207488742,0.5142647254411742,0.04,2000,0
olmo,OLMo-2-1124-13B,38,39,49,0.975,-0.01806122448979592,0.9019687169134337,0.9690572991631933,-0.3007432709322763,0.28218155796360644,0.5605,2000,0
olmo,OLMo-2-1124-13B,39,0,49,1.0,0.18724489795918367,0.1976390494929822,0.5324255510414462,-0.13706984261233376,0.49353513253443254,0.1205,2000,0
olmo,OLMo-2-1124-13B,39,1,49,1.0,-0.30244897959183675,0.03466624149872448,0.3432794234304024,-0.5688223765187096,0.00020708502499839683,0.9745,2000,0
